Ticker,Name,Exchange,Category,Country,Quote,Key,Income,Balance,Cash,Insider,Bonds
PSTB,Park Sterling Corporation,NMS,Regional - Southeast Banks,USA,4/24/2021,N,5/29/2021,5/29/2021,4/24/2021,N,N
PRK,Park National Corporation,ASE,Regional - Midwest Banks,USA,3/28/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
PFMT,Performant Financial Corporation,NMS,Business Services,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
PED,PEDEVCO Corp.,ASE,Oil & Gas Equipment & Services,USA,6/2/2021,N,4/3/2021,4/3/2021,4/3/2021,5/29/2021,N
OFED,Oconee Federal Financial Corp.,NCM,Savings & Loans,USA,4/4/2021,N,4/4/2021,4/4/2021,4/24/2021,5/29/2021,N
LTBR,Lightbridge Corporation,NCM,Synthetics,USA,5/12/2021,N,5/8/2021,5/8/2021,5/8/2021,N,N
LFVN,Lifevantage Corporation,NCM,Personal Products,USA,6/1/2021,5/29/2021,3/26/2021,3/26/2021,5/29/2021,5/29/2021,N
JCS,Communications Systems Inc.,NGM,Communication Equipment,USA,5/31/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N,N
HVT,Haverty Furniture Companies Inc.,NYQ,Home Furnishing Stores,USA,5/31/2021,N,5/11/2021,5/11/2021,5/11/2021,N,N
HTBK,Heritage Commerce Corp,NMS,Regional - Pacific Banks,USA,4/24/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
HGSH,China HGS Real Estate Inc.,NCM,Real Estate Development,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
GPK,Graphic Packaging Holding Company,NYQ,Packaging & Containers,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
FSP,Franklin Street Properties Corp.,ASE,REIT - Office,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
FOGO,Fogo de Chao Inc.,NMS,Restaurants,USA,5/11/2021,N,5/28/2021,5/28/2021,3/21/2021,N,N
EXA,Exa Corporation,NGM,Application Software,USA,5/12/2021,N,5/30/2021,5/30/2021,5/7/2021,N,N
ESP,Espey Mfg. & Electronics Corp.,ASE,Diversified Electronics,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
EPM,Evolution Petroleum Corporation,ASE,Independent Oil & Gas,USA,6/2/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N,N
ELP,Companhia Paranaense de Energia - COPEL,NYQ,Electric Utilities,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
DAC,Danaos Corporation,NYQ,Shipping,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
CZNC,Citizens & Northern Corporation,NCM,Regional - Mid-Atlantic Banks,USA,4/4/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
CTT,CatchMark Timber Trust Inc.,NYQ,Lumber Wood Production,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
